LANDING_YEAR,LANDING_MONTH,TAC_mt,TAC_N,TAC_S,Alloc_lat,QuotaAllocated,QuotaAllocationNumber,TAC_mt_accum,dClosure,,,,,,,,,
2004,5,122747,0.33333,0.66666,39,0,9,109666.1329,0,,,,,,,,,
2004,6,122747,0.33333,0.66666,39,0,9,108728.3116,0,,,,,,,,,
2004,7,122747,0.33333,0.66666,39,0,9,105006.1109,0,,,,,,,,,
2004,8,122747,0.33333,0.66666,39,0,9,91362.37259,0,,,,,,,,,
2004,9,68009,0.2,0.8,39,1,10,68009,0,,,,,,,,,
2004,10,68009,0.2,0.8,39,0,10,58424.32378,0,,,,,,,,,
2004,11,68009,0.2,0.8,39,0,10,47590.65239,0,,,,,,,,,
2004,12,68009,0.2,0.8,39,0,10,40970.9648,0,,,,,,,,,
2005,1,136179,0.33333,0.66666,39,1,11,136179,0,,,,,,,,,
2005,2,136179,0.33333,0.66666,39,0,11,134617.6484,0,,,,,,,,,
2005,3,136179,0.33333,0.66666,39,0,11,132700.4069,0,,,,,,,,,
2005,4,136179,0.33333,0.66666,39,0,11,129347.4104,0,,,,,,,,,
2005,5,136179,0.33333,0.66666,39,0,11,125692.8992,0,,,,,,,,,
2005,6,136179,0.33333,0.66666,39,0,11,124090.1006,0,,,,,,,,,
2005,7,136179,0.33333,0.66666,39,0,11,122175.4001,0,,,,,,,,,
2005,8,136179,0.33333,0.66666,39,0,11,108557.4922,0,,,,,,,,,
2005,9,85132,0.2,0.8,39,1,12,85132,0,,,,,,,,,
2005,10,85132,0.2,0.8,39,0,12,66428.51096,0,,,,,,,,,
2005,11,85132,0.2,0.8,39,0,12,61509.36566,0,,,,,,,,,
2005,12,85132,0.2,0.8,39,0,12,53723.92073,0,,,,,,,,,
2006,1,41348,0,100,49,1,13,41348,0,,,,,,,,,
2006,2,41348,0,100,49,0,13,39557.9467,0,,,,,,,,,
2006,3,41348,0,100,49,0,13,36724.40687,0,,,,,,,,,
2006,4,41348,0,100,49,0,13,31749.05558,0,,,,,,,,,
2006,5,41348,0,100,49,0,13,28562.11377,0,,,,,,,,,
2006,6,41348,0,100,49,0,13,25077.57273,0,,,,,,,,,
2006,7,47255,0,100,49,1,14,47255,0,,,,,,,,,
2006,8,47255,0,100,49,0,14,43195.28841,0,,,,,,,,,
2006,9,29534,0,100,49,1,15,29534,0,,,,,,,,,
2006,10,29534,0,100,49,0,15,13741.48808,0,,,,,,,,,
2006,11,29534,0,100,49,0,15,0,0,,,,,,,,,
2006,12,29534,0,100,49,0,15,0,0,,,,,,,,,
2007,1,53397,0,100,49,1,16,53397,0,,,,,,,,,
2007,2,53397,0,100,49,0,16,46725.15246,0,,,,,,,,,
2007,3,53397,0,100,49,0,16,43457.66535,0,,,,,,,,,
2007,4,53397,0,100,49,0,16,35530.96404,0,,,,,,,,,
2007,5,53397,0,100,49,0,16,32046.93964,0,,,,,,,,,
2007,6,53397,0,100,49,0,16,28688.13531,0,,,,,,,,,
2007,7,61025,0,100,49,1,17,61025,0,,,,,,,,,
2007,8,61025,0,100,49,0,17,49928.84695,0,,,,,,,,,
2007,9,38141,0,100,49,1,18,38141,0,,,,,,,,,
2007,10,38141,0,100,49,0,18,13515.60357,0,,,,,,,,,
2007,11,38141,0,100,49,0,18,2965.401557,0,,,,,,,,,
2007,12,38141,0,100,49,0,18,0,0,,,,,,,,,
2008,1,26550,0,100,49,1,19,26550,0,,,,,,,,,
2008,2,26550,0,100,49,0,19,24227.02374,0,,,,,,,,,
2008,3,26550,0,100,49,0,19,20262.18735,0,,,,,,,,,
2008,4,26550,0,100,49,0,19,12032.08128,0,,,,,,,,,
2008,5,26550,0,100,49,0,19,5088.830832,0,,,,,,,,,
2008,6,26550,0,100,49,0,19,0,1,,,,,,,,,
2008,7,34568,0,100,49,1,20,34568,0,,,,,,,,,
2008,8,34568,0,100,49,0,20,4701.334657,1,,,,,,,,,
2008,9,19066,0,100,49,1,21,19066,0,,,,,,,,,
2008,10,19066,0,100,49,0,21,2586.703784,1,,,,,,,,,
2008,11,19066,0,100,49,0,21,2579.282559,1,,,,,,,,,
2008,12,19066,0,100,49,0,21,2527.871493,1,,,,,,,,,
2009,1,22006,0,100,49,1,22,22006,0,,,,,,,,,
2009,2,22006,0,100,49,0,22,6372.155147,0,,,,,,,,,
2009,3,22006,0,100,49,0,22,1745.745209,1,,,,2008,2009,2010,2011,2012,2013
2009,4,22006,0,100,49,0,22,1719.50988,1,,,1st Period,29-May,Feb. 20,12-Jun,5-Mar,Not closed,Not closed
2009,5,22006,0,100,49,0,22,1712.227454,1,,,2nd Period,Aug. 8,18-Jul,22-Jul,12-Jul,Aug. 23,Aug. 22
2009,6,22006,0,100,49,0,22,1710.588171,1,,,3rd Period,Sept. 23,Sept. 23,Sept. 24,Sept. 21,Not closed,Not closed
2009,7,25293,0,100,49,1,23,25293,0,,,,,,,,,
2009,8,25293,0,100,49,0,23,811.5873943,1,,,,,,,,,
2009,9,11933,0,100,49,1,24,11933,0,,,3rd Period Incidental,,Dec. 23,,,,
2009,10,11933,0,100,49,0,24,0,1,,,,,,,,,
2009,11,11933,0,100,49,0,24,0,1,,,,,,,,,
2009,12,11933,0,100,49,0,24,0,1,,,,,,,,,
2010,1,22463,0,100,49,1,25,22463,0,,,,,,,,,
2010,2,22463,0,100,49,0,25,20392.62552,0,,,,,,,,,
2010,3,22463,0,100,49,0,25,15235.83506,0,,,,,,,,,
2010,4,22463,0,100,49,0,25,9876.299198,0,,,,,,,,,
2010,5,22463,0,100,49,0,25,5707.927288,0,,,,,,,,,
2010,6,22463,0,100,49,0,25,2095.936226,1,,,,,,,,,
2010,7,25861,0,100,49,1,26,25861,0,,,,,,,,,
2010,8,25861,0,100,49,0,26,0,1,,,,,,,,,
2010,9,11760,0,100,49,1,27,11760,0,,,,,,,,,
2010,10,11760,0,100,49,0,27,1939.464592,1,,,,,,,,,
2010,11,11760,0,100,49,0,27,1864.068922,1,,,,,,,,,
2010,12,11760,0,100,49,0,27,1762.18119,1,,,,,,,,,
2011,1,15214,0,100,49,1,28,15214,0,,,,,,,,,
2011,2,15214,0,100,49,0,28,2528.636189,0,,,,,,,,,
2011,3,15214,0,100,49,0,28,335.2780353,1,,,,,,,,,
2011,4,15214,0,100,49,0,28,28.35203636,1,,,,,,,,,
2011,5,15214,0,100,49,0,28,28.3497684,1,,,,,,,,,
2011,6,15214,0,100,49,0,28,0,1,,,,,,,,,
2011,7,17530,0,100,49,1,29,17530,0,,,,,,,,,
2011,8,17530,0,100,49,0,29,0,1,,,,,,,,,
2011,9,8582,0,100,49,1,30,8582,0,,,,,,,,,
2011,10,8582,0,100,49,0,30,764.0347648,1,,,,,,,,,
2011,11,8582,0,100,49,0,30,744.7436672,1,,,,,,,,,
2011,12,8582,0,100,49,0,30,732.8014329,1,,,,,,,,,
2012,1,33093,0,100,49,1,31,33093,0,,,,,,,,,
2012,2,33093,0,100,49,0,31,24486.32518,0,,,,,,,,,
2012,3,33093,0,100,49,0,31,22819.66305,0,,,,,,,,,
2012,4,33093,0,100,49,0,31,22596.7419,0,,,,,,,,,
2012,5,33093,0,100,49,0,31,21881.16864,0,,,,,,,,,
2012,6,33093,0,100,49,0,31,19401.52385,0,,,,,,,,,
2012,7,37964,0,100,49,1,32,37964,0,,,,,,,,,
2012,8,37964,0,100,49,0,32,5754.639379,0,,,,,,,,,
2012,9,23352,0,100,49,1,33,23352,0,,,,,,,,,
2012,10,23352,0,100,49,0,33,9322.524515,0,,,,,,,,,
2012,11,23352,0,100,49,0,33,1721.69803,0,,,,,,,,,
2012,12,23352,0,100,49,0,33,840.8279972,0,,,,,,,,,
2013,1,19123,0,100,49,1,34,19123,0,,,,,,,,,
2013,2,19123,0,100,49,0,34,18996.07034,0,,,,,,,,,
2013,3,19123,0,100,49,0,34,18995.48974,0,,,,,,,,,
2013,4,19123,0,100,49,0,34,18970.14618,0,,,,,,,,,
2013,5,19123,0,100,49,0,34,18269.19582,0,,,,,,,,,
2013,6,19123,0,100,49,0,34,16693.12744,0,,,,,,,,,
2013,7,22998,0,100,49,1,35,22998,0,,,,,,,,,
2013,8,22998,0,100,49,0,35,0,0,,,,,,,,,
2013,9,13374,0,100,49,1,36,13374,0,,,,,,,,,
2013,10,13374,0,100,49,0,36,5288.471512,0,,,,,,,,,
2013,11,13374,0,100,49,0,36,0,0,,,,,,,,,
2013,12,13374,0,100,49,0,36,0,0,,,,,,,,,
2014,1,5446,0,100,49,1,37,5446,0,,,,,,,,,
2014,2,5446,0,100,49,0,37,4620.507699,0,,,,,,,,,
2014,3,5446,0,100,49,0,37,3333.268797,0,,,,,,,,,
2014,4,5446,0,100,49,0,37,2482.637046,0,,,,,,,,,
2014,5,5446,0,100,49,0,37,412.8433503,0,,,,,,,,,
2014,6,5446,0,100,49,0,37,0,0,,,,,,,,,
2014,7,7718,0,100,49,1,38,7718,0,,,,,,,,,
2014,8,7718,0,100,49,0,38,584.0792748,0,,,,,,,,,
2014,9,4823,0,100,49,1,39,4823,0,,,,,,,,,
2014,10,4823,0,100,49,0,39,0,0,,,,,,,,,
2014,11,4823,0,100,49,0,39,0,0,,,,,,,,,
2014,12,4823,0,100,49,0,39,0,0,,,,,,,,,
2015,1,6752,0,100,49,1,40,6752,0,,,,,,,,,
2015,2,6752,0,100,49,0,40,6370.688935,0,,,,,,,,,
2015,3,6752,0,100,49,0,40,6147.996853,0,,,,,,,,,
2015,4,6752,0,100,49,0,40,5084.946888,0,,,,,,,,,
2015,5,6752,0,100,49,0,40,3128.501843,0,,,,,,,,,
2015,6,6752,0,100,49,0,40,3022.706866,0,,,,,,,,,
2015,7,0,0,100,49,1,41,0,1,,,,,,,,,
2015,8,0,0,100,49,0,41,0,1,,,,,,,,,
2015,9,0,0,100,49,1,42,0,1,,,,,,,,,
2015,10,0,0,100,49,0,42,0,1,,,,,,,,,
2015,11,0,0,100,49,0,42,0,1,,,,,,,,,
2015,12,0,0,100,49,0,42,0,1,,,,,,,,,
2016,1,0,0,100,49,1,43,0,1,,,,,,,,,
2016,2,0,0,100,49,0,43,0,1,,,,,,,,,
2016,3,0,0,100,49,0,43,0,1,,,,,,,,,
2016,4,0,0,100,49,0,43,0,1,,,,,,,,,
2016,5,0,0,100,49,0,43,0,1,,,,,,,,,
2016,6,0,0,100,49,0,43,0,1,,,,,,,,,
2016,7,0,0,100,49,1,44,0,1,,,,,,,,,
2016,8,0,0,100,49,0,44,0,1,,,,,,,,,
2016,9,0,0,100,49,1,45,0,1,,,,,,,,,
2016,10,0,0,100,49,0,45,0,1,,,,,,,,,
2016,11,0,0,100,49,0,45,0,1,,,,,,,,,
2016,12,0,0,100,49,0,45,0,1,,,,,,,,,
2017,1,0,0,100,49,0,45,0,1,,,,,,,,,
2017,2,0,0,100,49,0,45,0,1,,,,,,,,,
2017,3,0,0,100,49,0,45,0,1,,,,,,,,,
2017,4,0,0,100,49,0,45,0,1,,,,,,,,,
2017,5,0,0,100,49,0,45,0,1,,,,,,,,,
2017,6,0,0,100,49,0,45,0,1,,,,,,,,,
2017,7,0,0,100,49,0,45,0,1,,,,,,,,,
2017,8,0,0,100,49,0,45,0,1,,,,,,,,,
2017,9,0,0,100,49,0,45,0,1,,,,,,,,,
2017,10,0,0,100,49,0,45,0,1,,,,,,,,,
2017,11,0,0,100,49,0,45,0,1,,,,,,,,,
2017,12,0,0,100,49,0,45,0,1,,,,,,,,,
2018,1,0,0,100,49,0,45,0,1,,,,,,,,,
2018,2,0,0,100,49,0,45,0,1,,,,,,,,,
2018,3,0,0,100,49,0,45,0,1,,,,,,,,,
2018,4,0,0,100,49,0,45,0,1,,,,,,,,,
2018,5,0,0,100,49,0,45,0,1,,,,,,,,,
2018,6,0,0,100,49,0,45,0,1,,,,,,,,,
2018,7,0,0,100,49,0,45,0,1,,,,,,,,,
2018,8,0,0,100,49,0,45,0,1,,,,,,,,,
2018,9,0,0,100,49,0,45,0,1,,,,,,,,,
2018,10,0,0,100,49,0,45,0,1,,,,,,,,,
2018,11,0,0,100,49,0,45,0,1,,,,,,,,,
2018,12,0,0,100,49,0,45,0,1,,,,,,,,,
2019,1,0,0,100,49,0,45,0,1,,,,,,,,,
2019,2,0,0,100,49,0,45,0,1,,,,,,,,,
2019,3,0,0,100,49,0,45,0,1,,,,,,,,,
2019,4,0,0,100,49,0,45,0,1,,,,,,,,,
2019,5,0,0,100,49,0,45,0,1,,,,,,,,,
2019,6,0,0,100,49,0,45,0,1,,,,,,,,,
2019,7,0,0,100,49,0,45,0,1,,,,,,,,,
2019,8,0,0,100,49,0,45,0,1,,,,,,,,,
2019,9,0,0,100,49,0,45,0,1,,,,,,,,,
2019,10,0,0,100,49,0,45,0,1,,,,,,,,,
2019,11,0,0,100,49,0,45,0,1,,,,,,,,,
2019,12,0,0,100,49,0,45,0,1,,,,,,,,,
