DATE,CPIAUCSL
2011-10-01,226.750
2011-11-01,227.169
2011-12-01,227.223
2012-01-01,227.842
2012-02-01,228.329
2012-03-01,228.807
2012-04-01,229.187
2012-05-01,228.713
2012-06-01,228.524
2012-07-01,228.590
2012-08-01,229.918
2012-09-01,231.015
2012-10-01,231.638
2012-11-01,231.249
2012-12-01,231.221
2013-01-01,231.679
2013-02-01,232.937
2013-03-01,232.282
2013-04-01,231.797
2013-05-01,231.893
2013-06-01,232.445
2013-07-01,232.900
2013-08-01,233.456
2013-09-01,233.544
2013-10-01,233.669
2013-11-01,234.100
2013-12-01,234.719
2014-01-01,235.288
2014-02-01,235.547
2014-03-01,236.028
2014-04-01,236.468
2014-05-01,236.918
2014-06-01,237.231
2014-07-01,237.498
2014-08-01,237.460
2014-09-01,237.477
2014-10-01,237.430
2014-11-01,236.983
2014-12-01,236.252
2015-01-01,234.747
2015-02-01,235.342
2015-03-01,235.976
2015-04-01,236.222
2015-05-01,237.001
2015-06-01,237.657
2015-07-01,238.034
2015-08-01,238.033
2015-09-01,237.498
2015-10-01,237.733
2015-11-01,238.017
2015-12-01,237.761
2016-01-01,237.652
2016-02-01,237.336
2016-03-01,238.080
2016-04-01,238.992
2016-05-01,239.557
2016-06-01,240.222
2016-07-01,240.101
2016-08-01,240.545
2016-09-01,241.176
2016-10-01,241.741
2016-11-01,242.026
2016-12-01,242.637
2017-01-01,243.618
2017-02-01,244.006
2017-03-01,243.892
2017-04-01,244.193
2017-05-01,244.004
2017-06-01,244.163
2017-07-01,244.243
2017-08-01,245.183
2017-09-01,246.435
2017-10-01,246.626
2017-11-01,247.284
2017-12-01,247.805
2018-01-01,248.743
2018-02-01,249.439
2018-03-01,249.581
2018-04-01,250.146
2018-05-01,250.779
2018-06-01,251.118
2018-07-01,251.323
2018-08-01,251.749
2018-09-01,252.239
2018-10-01,252.862
2018-11-01,252.657
2018-12-01,252.551
2019-01-01,252.470
2019-02-01,253.135
2019-03-01,254.273
2019-04-01,255.163
2019-05-01,255.325
2019-06-01,255.361
2019-07-01,255.900
2019-08-01,256.179
2019-09-01,256.596
2019-10-01,257.305
2019-11-01,257.788
2019-12-01,258.263
2020-01-01,258.682
2020-02-01,259.007
2020-03-01,258.165
2020-04-01,256.094
2020-05-01,255.944
2020-06-01,257.217
2020-07-01,258.543
2020-08-01,259.580
2020-09-01,260.190
2020-10-01,260.352
2020-11-01,260.721
2020-12-01,261.564
2021-01-01,262.200
2021-02-01,263.346
2021-03-01,265.028
2021-04-01,266.727
2021-05-01,268.599
2021-06-01,270.955
2021-07-01,272.184
2021-08-01,273.092
2021-09-01,274.214
2021-10-01,276.590
2021-11-01,278.524
2021-12-01,280.126
2022-01-01,281.933
