Date,Diesel Retail Prices (Dollars per Gallon),LANDING_YEAR,LANDING_MONTH
Oct-14,3.681,2014,10
Nov-14,3.647,2014,11
Dec-14,3.411,2014,12
Jan-15,2.997,2015,1
Feb-15,2.858,2015,2
Mar-15,2.897,2015,3
Apr-15,2.782,2015,4
May-15,2.888,2015,5
Jun-15,2.873,2015,6
Jul-15,2.788,2015,7
Aug-15,2.595,2015,8
Sep-15,2.505,2015,9
Oct-15,2.519,2015,10
Nov-15,2.467,2015,11
Dec-15,2.31,2015,12
Jan-16,2.143,2016,1
Feb-16,1.998,2016,2
Mar-16,2.09,2016,3
Apr-16,2.152,2016,4
May-16,2.315,2016,5
Jun-16,2.423,2016,6
Jul-16,2.405,2016,7
Aug-16,2.351,2016,8
Sep-16,2.394,2016,9
Oct-16,2.454,2016,10
Nov-16,2.439,2016,11
Dec-16,2.51,2016,12
Jan-17,2.58,2017,1
Feb-17,2.568,2017,2
Mar-17,2.554,2017,3
Apr-17,2.583,2017,4
May-17,2.56,2017,5
Jun-17,2.511,2017,6
Jul-17,2.496,2017,7
Aug-17,2.595,2017,8
Sep-17,2.785,2017,9
Oct-17,2.794,2017,10
Nov-17,2.909,2017,11
Dec-17,2.909,2017,12
Jan-18,3.018,2018,1
Feb-18,3.046,2018,2
Mar-18,2.988,2018,3
Apr-18,3.096,2018,4
May-18,3.244,2018,5
Jun-18,3.253,2018,6
Jul-18,3.233,2018,7
Aug-18,3.218,2018,8
Sep-18,3.262,2018,9
Oct-18,3.365,2018,10
Nov-18,3.3,2018,11
Dec-18,3.123,2018,12
Jan-19,2.98,2019,1
Feb-19,2.997,2019,2
Mar-19,3.076,2019,3
Apr-19,3.121,2019,4
May-19,3.161,2019,5
Jun-19,3.089,2019,6
Jul-19,3.045,2019,7
Aug-19,3.005,2019,8
Sep-19,3.016,2019,9
Oct-19,3.053,2019,10
Nov-19,3.069,2019,11
Dec-19,3.055,2019,12
Jan-20,3.048,2020,1
Feb-20,2.91,2020,2
Mar-20,2.729,2020,3
Apr-20,2.493,2020,4
May-20,2.392,2020,5
Jun-20,2.408,2020,6
Jul-20,2.434,2020,7
Aug-20,2.429,2020,8
Sep-20,2.414,2020,9
Oct-20,2.389,2020,10
Nov-20,2.432,2020,11
Dec-20,2.585,2020,12
Jan-21,2.681,2021,1
Feb-21,2.847,2021,2
Mar-21,3.152,2021,3
Apr-21,3.13,2021,4
May-21,3.217,2021,5
Jun-21,3.287,2021,6
Jul-21,3.339,2021,7
Aug-21,3.35,2021,8
Sep-21,3.384,2021,9
Oct-21,3.612,2021,10
Nov-21,3.727,2021,11
Dec-21,3.641,2021,12
Jan-22,3.724,2022,1
Feb-22,4.032,2022,2
Mar-22,5.105,2022,3
Apr-22,5.12,2022,4
